기업명,관리종목여부,년도,유동자산,현금및현금성자산,재고자산,매출채권,기타유동자산,비유동자산,유형자산,무형자산,투자부동산,기타비유동자산,자산총계,유동부채,매입채무,기타유동부채,비유동부채,부채총계,자본금,이익잉여금,기타자본구성요소,자본총계,부채와자본총계,매출액,매출원가,매출총이익(손실),판매비와관리비,영업이익(손실),금융수익,금융비용,법인세차감전순이익(손실),법인세비용,당기순이익(손실),총포괄손익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의순증가,기초현금및현금성자산,기말현금및현금성자산
케이씨씨,N,2015,1644440000000,313072000000,446985000000,712743000000,,6746640000000,2406500000000,12629395603,443022000000,,8391080000000,1334960000000,204105000000,,1340140000000,2675100000000,56434870000,4135910000000,,5715980000000,8391080000000,3067640000000,2316250000000,751388000000,494584000000,256804000000,177175000000,-200833000000,214530000000,57512435336,157017000000,-305849000000,227095000000,-850858000000,470342000000,-153422000000,462184000000,313072000000
케이씨씨,N,2016,1890610000000,507291000000,427420000000,759542000000,,6970800000000,2443590000000,11812135718,500282000000,,8861410000000,1624400000000,228823000000,,1428330000000,3052730000000,56434870000,4195080000000,,5808680000000,8861410000000,3152300000000,2358200000000,794103000000,518330000000,275773000000,85081424559,-97966888047,192203000000,59898354391,132305000000,181198000000,384355000000,-404017000000,202169000000,182507000000,313072000000,507291000000
케이씨씨,N,2017,1994910000000,347248000000,434539000000,824821000000,,7212430000000,2624280000000,11282067690,501544000000,,9207340000000,2524000000000,554920000000,,973992000000,3498000000000,56434870000,5249830000000,,5709340000000,9207340000000,3426490000000,2640470000000,786027000000,509775000000,276252000000,287747000000,430534000000,8623361239,35653022637,-27029661398,-8547531368,382838000000,-672970000000,142114000000,-148018000000,507291000000,347248000000
케이씨씨,N,2018,2282400000000,247935000000,491880000000,679272000000,,6377180000000,2589150000000,11837943821,502982000000,,8659580000000,1362940000000,231693000000,,1702080000000,3065030000000,56434870000,5135050000000,,5594550000000,8659580000000,3347340000000,2613940000000,733394000000,504770000000,228624000000,315670000000,561816000000,-11188109201,10741517762,-21929626963,-26156615388,496760000000,-65506105336,-526380000000,-95125769085,347248000000,247935000000
케이씨씨,N,2019,1667700000000,123099000000,374852000000,485611000000,,6400080000000,2118120000000,7776600943,490855000000,,9199570000000,2850330000000,174902000000,,1647140000000,4760350000000,56434870000,4926290000000,,4439220000000,9199570000000,2396600000000,1835600000000,561001000000,421520000000,139481000000,182027000000,192837000000,-90803543554,29567235359,-119231000000,-120257000000,252627000000,-700427000000,575180000000,127381000000,247935000000,123099000000
OCI,N,2015,1264220000000,200733000000,297326000000,559324000000,,3965580000000,2438590000000,13496530000,39944910000,,5229790000000,755351000000,290550000000,,1648570000000,2403920000000,127246855,1873970000000,,2825880000000,5229790000000,2174600000000,2101960000000,72633572000,156803000000,-84168987000,121958000000,-151496000000,-204351305,,-191075000000,-202515000000,15729573000,-217949000000,93898062000,-108321000000,309054000000,200733000000
OCI,N,2016,1302890000000,135552000000,214897000000,761038000000,,3856210000000,2094670000000,9889813000,41081487000,,5159100000000,1038940000000,266568000000,,948981000000,1987920000000,127246855,2222820000000,,3171180000000,5159100000000,2245310000000,1995220000000,250093000000,129779000000,120314000000,209295000000,-151029000000,239377089,-108248000000,347625000000,345302000000,271790000000,-19713536000,-317257000000,-65180866000,200733000000,135552000000
OCI,N,2017,1427330000000,565127000000,213853000000,489182000000,,3840990000000,1952460000000,12152129000,39549450000,,5268310000000,988760000000,354948000000,,952621000000,1941380000000,127246855,2376970000000,,3326933858,5268310000000,2494390000000,2089570000000,404819000000,145646000000,259173000000,123515000000,161774000000,226685000000,57788623000,168896000000,165295000000,529012000000,-27160497000,-71710552000,429575000000,135552000000,565127000000
OCI,N,2018,1329560000000,338974000000,367042000000,356475000000,,3428250000000,1818520000000,14235737000,37145436000,,4757820000000,773867000000,286754000000,,638527000000,1412390000000,127246855,2395540000000,,3345425716,4757820000000,2276330000000,2007380000000,268951000000,140846000000,128105000000,75903140000,101681000000,81224627000,10500387000,70724240000,64998131000,575577000000,-323272000000,-478458000000,-226153000000,565127000000,338974000000
OCI,N,2019,1020690000000,149600000000,298744000000,307440000000,,2775980000000,913375000000,15455057000,30110686000,,3796680000000,645108000000,246664000000,,553714000000,1198820000000,127246855,1647970000000,,2597855212,3796680000000,1766570000000,1772100000000,-5527918000,136849000000,-142377000000,68583441000,85999686000,-933997000000,-216402000000,-717595000000,-727299000000,2708741000,-132769000000,-59313309000,-189374000000,338974000000,149600000000
