기업명,관리종목여부,년도,유동자산,현금및현금성자산,재고자산,매출채권,기타유동자산,비유동자산,유형자산,무형자산,투자부동산,기타비유동자산,자산총계,유동부채,매입채무,기타유동부채,비유동부채,부채총계,자본금,이익잉여금,기타자본구성요소,자본총계,부채와자본총계,매출액,매출원가,매출총이익(손실),판매비와관리비,영업이익(손실),금융수익,금융비용,법인세차감전순이익(손실),법인세비용,당기순이익(손실),총포괄손익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의순증가,기초현금및현금성자산,기말현금및현금성자산
케이씨씨,N,2015,1644438998649,313071833409,446985370342,712743446820,,6746639322941,2406502994816,12629395603,443022217488,,8391078321590,1334959069668,204104860813,,1340138635120,2675097704788,,4135914498554,,5715980616802,8391078321590,3067640038239,2316252063382,751387974857,494583718257,256804256600,177175136481,-200832750674,214529571318,57512435336,157017135982,-305848641036,227094905519,-850858206309,470341647341,-153421653449,462183781965,313071833409
케이씨씨,N,2016,1890609797572,507290803343,427419517416,759541679018,,6970795839063,2443591079338,11812135718,500282316587,,8861405636635,1624400028228,228822927417,,1428327570087,3052727598315,,4195084981457,,5808678038320,8861405636635,3152300110386,2358197294181,794102816205,518330131852,275772684353,85081424559,-97966888047,192203490394,59898354391,132305136003,181198453518,384355124280,-404017172744,202169387152,182507338688,313071833409,507290803343
케이씨씨,N,2017,1994907301609,347248235337,434539138843,824821143912,,7212428427887,2624279314566,11282067690,501544353060,,9207335729496,2524004899277,554920440789,,973991821340,3497996720617,,5249833436649,,5709339008879,9207335729496,3426493950897,2640466753771,786027197126,509774704851,276252492275,287747401990,430534089693,8623361239,35653022637,-27029661398,-8547531368,382837517750,-672969611307,142114470795,-148017622762,507290803343,347248235337
케이씨씨,N,2018,2282402035812,247934920692,491879691787,679272008300,,6377177031563,2589150889788,11837943821,502981962330,,8659579067375,1362943252726,231692860867,,1702084666936,3065027919662,,5135045575483,,5594551147713,8659579067375,3347335867897,2613941983816,733393884081,504770128878,228623755203,315670471089,561816359945,-11188109201,10741517762,-21929626963,-26156615388,496759973440,-65506105336,-526379637189,-95125769085,347248235337,247934920692
케이씨씨,N,2019,1667702813662,123098635789,374852057945,485611370682,,6400077915414,2118118040682,7776600943,490855429097,,9199571692104,2850327454058,174902430862,,1647142175954,4760353043694,,4926287191625,,4439218648410,9199571692104,2396603742545,1835602312989,561001429556,421520061501,139481368055,182027451879,192837212031,-90803543554,29567235359,-119231068253,-120257351858,252627367059,-700426668954,575180400116,127381098221,247934920692,123098635789
OCI,N,2015,1264217114000,200733091000,297326368000,559324428000,,3965576668000,2438586516000,13496530000,39944910000,,5229793782000,755351223000,290550321000,,1648566286000,2403917509000,,1873971193000,,2825876273000,5229793782000,2174598430000,2101964858000,72633572000,156802559000,-84168987000,121958420000,-151495634000,,-63605561000,-191074697000,-202515274000,15729573000,-217948717000,93898062000,-108321082000,309054173000,200733091000
OCI,N,2016,1302893841000,135552225000,214896775000,761037840000,,3856205624000,2094667475000,9889813000,41081487000,,5159099465000,1038940845000,266568475000,,948980510000,1987921355000,,2222815199000,,3171178110000,5159099465000,2245311185000,1995218164000,250093021000,129779450000,120313571000,209295291000,-151029468000,,-108248352000,347625441000,345301837000,271789819000,-19713536000,-317257149000,-65180866000,200733091000,135552225000
OCI,N,2017,1427326118000,565127238000,213852770000,489182225000,,3840988671000,1952457661000,12152129000,39549450000,,5268314789000,988759846000,354947802000,,952621085000,1941380931000,,2376968198000,,,5268314789000,2494394059000,2089574855000,404819204000,145646054000,259173150000,123514966000,161774214000,226684817000,57788623000,168896194000,165295496000,529011862000,-27160497000,-71710552000,429575013000,135552225000,565127238000
OCI,N,2018,1329564971000,338973986000,367041989000,356475202000,,3428254301000,1818522705000,14235737000,37145436000,,4757819272000,773866893000,286754416000,,638526663000,1412393556000,,2395539420000,,,4757819272000,2276329802000,2007379180000,268950622000,140845799000,128104823000,75903140000,101680545000,81224627000,10500387000,70724240000,64998131000,575576789000,-323272367000,-478457674000,-226153252000,565127238000,338973986000
OCI,N,2019,1020694352000,149600485000,298744193000,307440108000,,2775983364000,913375358000,15455057000,30110686000,,3796677716000,645108280000,246663506000,,553714224000,1198822504000,,1647968916000,,,3796677716000,1766574982000,1772102900000,-5527918000,136849411000,-142377329000,68583441000,85999686000,-933997146000,-216402272000,-717594874000,-727298538000,2708741000,-132768933000,-59313309000,-189373501000,338973986000,149600485000
