,기업명,기업코드
0,다코,00434003
1,일산약품,00434456
2,굿앤엘에스,00430964
3,한라판지,00432403
4,크레디피아제이십오차유동화전문회사,00388953
5,연방건설산업,00179984
6,브룩스피알아이오토메이션잉크,00420143
7,매경아이비아이,00401111
8,캐드뱅크,00435534
9,엠와이오피삼차유동화전문유한회사,00430186
10,엠와이오피이차유동화전문유한회사,00430201
11,엠와이오피일차유동화전문유한회사,00430210
12,포스미디어,00430229
13,축복할렐루야,00140432
14,한국전자화학,00426208
15,ConnachtCapitalMarketInvestmentLtd.,00433262
16,선진아이티,00433749
17,팀스코리아,00433785
18,에넥스하이테크,00196079
19,세이스텝바이스텝혼합형펀드,00435048
20,유리알파헷지채권혼합형펀드,00435057
21,한기술정보통신,00108843
22,다움종합건설,00443232
23,한국애치슨,00248293
24,고은상사,00455662
25,조흥종합건설,00149318
26,유니즈유통,00451347
27,창대화장품,00415105
28,문화종합건설,00420824
29,한국종합미디어,00389439
30,아이펜텍,00454016
31,대홍염공,00452072
32,지오항공여행사,00437602
33,헤이아니타코리아,00365518
34,태산산업개발,00246967
35,군포종합시장,00445559
36,기우,00444657
37,라시도,00448936
38,예전미디어,00405658
39,세미가,00410818
40,대닉스,00416061
41,인포핸드,00448909
42,지현개발,00445407
43,한국부동산신탁제일차유동화전문유한회사,00421647
44,ISCCaymanLtd.,00421425
45,연산,00423265
46,씨케이알유동화전문유한회사,00423292
47,디에스피,00420602
48,LOMBARDKOREAILIMITED,00307505
49,승진씨앤씨,00218229
50,우신투자자문,00241397
51,외환카드제오차유동화전문유한회사,00421896
52,태연,00365712
53,글로벌금강제일차유동화전문유한회사,00388616
54,글로벌렌탈,00230407
55,뤼미에르에셋,00423566
56,바사라엔터테인먼트,00423274
57,대백유동화전문유한회사,00419688
58,아이키키,00419712
59,진명씨앤씨,00414665
60,한경핫벤처,00421869
61,우리부동산제일차유동화전문유한회사,00421957
62,영진상운,00255442
63,한국토지신탁제오차유동화전문유한회사,00427517
64,다드림커뮤니케이션,00376152
65,ARISAIGASIANSMALLCOMPANIESFUND(L)BHD,00382241
66,싱가포르개발은행서울지점,00431501
67,삼성인덱스프리미엄30혼합형뮤추얼펀드,00434270
68,KTB혼합형펀드,00434289
69,KTB플러스찬스혼합형펀드,00434298
70,KTB포트폴리오스타혼합형펀드,00434313
71,KTB에버스타혼합형펀드,00434322
72,나노이앤씨,00429463
73,지산엔터프라이즈,00429515
74,유아이에스코리아,00432175
75,트리플에스유동화전문유한회사,00387033
76,크레디피아제이십일차유동화전문유한회사,00384045
77,싱가포르개발은행,00431608
78,엘지팩토링제일차유동화전문유한회사,00431705
79,이피에스뱅크,00430256
80,이라이프네트워크,00431167
81,덕성,00432315
82,타오건설,00413134
83,장원코리아,00435376
84,대신통상,00110909
85,삼광제지공업,00245995
86,서울교육,00220695
87,보성패션,00211794
88,넥스탑,00454496
89,마니빌,00455592
90,제이엘코프,00370796
91,컴마을,00199401
92,삼신크리에이션,00369596
93,호한통상,00210078
94,케이엠티,00363398
95,대백가구,00110042
96,청빛산업개발,00364324
97,삼양전자,00248017
98,숭민코리아유통,00452179
99,유오티앤씨,00413754
100,한라스페코중공업,00343163
101,알본,00452513
102,상일디지털,00435978
103,서전어패럴,00368153
104,웰비스트랜스,00455149
105,한국키엔스,00249946
106,대신생명보험,00110839
107,대성메디테크,00293798
108,대한알루미늄공업,00113119
109,남성엠케이,00424389
110,씨엠액텍,00424486
111,한국부동산신탁,00224734
112,주은산업,00197713
113,신엘지프라이머리제이차유동화전문유한회사,00421948
114,데코제일차유동화전문유한회사,00422381
115,뉴스테이트삼차모기지유동화전문유한회사,00350446
116,엘지수퍼센터,00396642
117,아이클릭세븐,00425449
118,월드인코레스,00425458
119,코리아픽시컴,00425333
120,산은부동산제사차유동화전문유한회사,00424617
121,글로벌자이언트시스템,00424006
122,신클레어,00424051
123,에이에스피기업구조조정전문,00403599
124,Marubeni-ItochuSteelInc.,00425519
125,신한,00224585
126,우리모아제이차유동화전문유한회사,00429524
127,글로벌사모안정혼합형펀드,00429533
128,파워외환카드제팔차유동화전문유한회사,00432722
129,파워외환카드제오차유동화전문유한회사,00432786
130,영퓨처,00429728
131,코로볼틴펀드리미티드,00428668
132,대창크랑크,00430751
133,허츠제일차유동화전문유한회사,00385372
134,새암교육,00431680
135,반지종합상가,00386308
136,동서산업건설(가칭),00256450
137,대우종합기계(가칭),00290816
138,대우조선공업(가칭),00291532
139,삼일상호저축은행,00127990
140,케이디에스에스,00431565
141,비젼케이파트너스,00399959
142,리버랜드,00430238
143,동양선재,00263034
144,춘천미도파,00205298
145,거버너스M&A사모펀드3호,00431042
146,아이앤비골드문브이에이치,00348715
147,체리미디어,00447964
148,경원하이텍,00448361
149,중원화학,00185851
150,나크나인,00445735
151,동남해상관광호텔,00385770
152,한성선박,00319245
153,삼성콘크리트공업,00126502
154,엠알더블유테크노로지,00363440
155,제이에이치홀딩스,00445522
156,동연산업,00320302
157,우양주택건설,00444958
158,해진하우징,00441836
159,대림전자,00445203
160,효헌산업,00445629
161,우림산업개발,00454052
162,에이스하이테크,00454414
163,해표푸드서비스,00196857
164,에프씨산업,00413383
165,극동뉴메릭,00225098
166,서울드림랜드,00410304
167,한국미라이공업,00310998
168,21세기화장품,00415114
169,광명산업,00451000
170,다음솔루션,00369985
171,이성화학,00199809
172,정우조명,00371670
173,모바일웰컴,00401430
174,푸른건설,00247027
175,월다크,00144058
176,길도건업,00416867
177,원일스포지움,00456263
178,용인자원,00436339
179,마산강관,00120748
180,세창철강공업,00386724
181,재무와정보,00255390
182,대양중공업,00455547
183,이에이지씨,00233398
184,페타코페트로륨,00405065
185,MarubeniCorporation,00425537
186,캐피탈라인,00424158
187,건설증권,00100920
188,일진전자통신,00370167
189,오픈솔루션,00409131
190,AMERICAORIENTALGROUP,00424194
191,mvp창업투자,00364713
192,라이져,00408901
193,한라시멘트,00161170
194,한국알리안츠화재해상보험,00423557
195,코리아벌처투자,00307444
196,티에스케이지,00370468
197,메리츠투자자문,00424547
198,텔레닉스,00424219
199,유니텍워터시스템즈,00424185
200,거륜씨앤씨,00424556
201,문화,00121631
202,모비도미,00424866
203,에이치케이인베스트먼트유동화전문유한회사,00424884
204,LiquidmetalTechnologies,00424927
