기업명,관리종목여부
케이씨씨,N
OCI,N
SKC,N
SPC삼립,N
현대로템,N
풍산,N
롯데칠성음료,N
KG동부제철,N
영원무역,N
금호타이어,N
오뚜기,N
엘에스일렉트릭,N
농심,N
계룡건설산업,N
현대홈쇼핑,N
에스원,N
대한유화,N
KG케미칼,N
하이트진로,N
넥센타이어,N
서연이화,N
CJ CGV,N
한세실업,N
한솔제지,N
현대엘리베이터,N
LF,N
엔씨소프트,N
이테크건설,N
한샘,N
KCC건설,N
고려제강,N
한진중공업,N
금호산업,N
대한전선,N
화승알앤에이,N
한국콜마,N
쌍용양회공업,N
강원랜드,N
엔에이치엔,N
포스코케미칼,N
유한양행,N
LIG넥스원,N
화승인더스트리,N
신세계인터내셔날,N
제주항공,N
녹십자,N
덕양산업,N
코스맥스,N
사조대림,N
신세계푸드,N
롯데정밀화학,N
엠씨넥스,N
한섬,N
파트론,N
서희건설,N
광동제약,N
GS홈쇼핑,N
세종공업,N
에코플라스틱,N
대한제당,N
남해화학,N
휴맥스,N
팜스코,N
동부건설,N
LG헬로비전,N
서울반도체,N
무림페이퍼,N
국도화학,N
한미약품,N
파워로직스,N
평화정공,N
종근당,N
동원시스템즈,N
남양유업,N
휴비스,N
대한제강,N
솔브레인홀딩스,N
애경유화,N
신세계건설,N
심텍,N
파라다이스,N
S&T모티브,N
한솔테크닉스,N
태평양물산,N
팜스토리,N
포스코 ICT,N
대원강업,N
KG이니시스,N
신성통상,N
한국프랜지공업,N
신세계,N
삼성엔지니어링,N
만도,N
BGF리테일,N
호텔신라,N
동국제강,N
아모레퍼시픽,N
HMM,N
한화에어로스페이스,N
CSA 코스믹,Y
EMW,Y
MP그룹,Y
OQP,Y
UCI,Y
경남바이오파마,Y
경남제약헬스케어,Y
국순당,Y
내츄럴엔도텍,Y
뉴프라이드,Y
더블유에프엠,Y
라이트론,Y
럭슬,Y
마이더스AI,Y
메디앙스,Y
미래SCI,Y
바른손,Y
바른전자,Y
블러썸엠앤씨,Y
비츠로시스,Y
샘코,Y
세동,Y
세미콘라이트,Y
세원물산,Y
센트럴인사이트,Y
셀루메드,Y
솔고바이오,Y
슈펙스비앤피,Y
스카이문스테크놀로지,Y
스킨앤스킨,Y
스타모빌리티,Y
신라젠,Y
쌍용자동차,Y
씨씨에스,Y
씨엔플러스,Y
아이톡시,Y
에스디시스템,Y
에스모,Y
에스모 머티리얼즈,Y
에스아이리소스,Y
에스앤더블류,Y
에이프런티어,Y
엑스큐어,Y
엔시트론,Y
엔지스테크널러지,Y
엠젠플러스,Y
와이오엠,Y
유아이디,Y
유양디앤유,Y
유테크,Y
이노와이즈,Y
이매진아시아,Y
이에스에이,Y
이엠앤아이,Y
이큐셀,Y
일야,Y
제낙스,Y
제이웨이,Y
조이맥스,Y
지스마트글로벌,Y
지와이커머스,Y
캔서롭,Y
코너스톤네트웍스,Y
코드네이처,Y
코스온,Y
코오롱티슈진,Y
큐브앤컴퍼니,Y
크로바하이텍,Y
크루셜텍,Y
키위미디어그룹,Y
테라셈,Y
팍스넷,Y
포스링크,Y
포티스,Y
폴루스바이오팜,Y
퓨전,Y
픽셀플러스,Y
필로시스헬스케어,Y
하이소닉,Y
한국정밀기계,Y
한국코퍼레이션,Y
한류타임즈,Y
한프,Y
해덕파워웨이,Y
행남사,Y
현진소재,Y
흥아해운,Y
